,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AL,100,0,2,5,6,4,6,3,4,1,1,100,3,5,3,3,3,2,2,6,3,8,4,4,2,1,4,2,5,3,7,5,4,6,5,3,3,6,4,7,2,4,1,3,5,2,6,6,4,3,4
AR,100,2,0,3,4,2,6,3,4,3,2,100,2,4,2,3,2,2,1,6,3,8,4,3,1,1,3,2,4,2,7,5,2,4,5,3,1,5,4,7,3,3,1,1,3,2,6,5,3,3,3
AZ,100,5,3,0,1,2,9,6,7,6,5,100,4,2,4,5,3,5,3,9,6,11,6,4,3,4,3,5,4,3,10,8,1,1,8,6,2,2,7,10,6,3,4,2,1,5,9,3,5,6,2
CA,100,6,4,1,0,3,10,7,8,7,6,100,5,2,5,6,4,6,4,10,7,12,7,5,4,5,3,6,4,4,11,9,2,1,9,7,3,1,8,11,7,4,5,3,2,6,10,2,6,7,3
CO,100,4,2,2,3,0,8,5,6,5,4,100,2,2,3,4,1,4,3,8,5,10,4,3,2,3,2,4,3,1,9,7,1,2,7,5,1,3,6,9,5,2,3,2,1,4,8,3,3,5,1
CT,100,6,6,9,10,8,0,4,3,7,6,100,6,8,5,4,7,4,7,1,3,3,4,6,6,6,7,5,7,7,2,2,8,9,1,3,7,9,2,1,6,7,5,7,9,4,2,9,5,3,8
DC,100,3,3,6,7,5,4,0,2,4,3,100,4,6,3,3,4,2,4,4,1,6,4,5,3,3,5,2,6,4,5,3,5,7,3,3,4,7,2,5,3,5,2,4,6,1,4,7,4,2,5
DE,100,4,4,7,8,6,3,2,0,5,4,100,5,7,4,3,5,3,5,3,1,5,3,5,4,4,6,3,6,5,4,2,6,8,2,2,5,8,1,4,4,6,3,5,7,2,3,8,4,2,6
FL,100,1,3,6,7,5,7,4,5,0,1,100,4,6,4,4,4,3,3,7,4,9,5,5,3,2,5,2,6,4,8,6,5,7,6,4,4,7,5,8,2,5,2,4,6,3,7,7,5,4,5
